iso3,country_name_clean,region,debt_source,icrg_match,year,debt,debt_service,vulnerability,exposure,sensitivity,damage_gdp,n_events,deaths_tot,gdp_pc_ppp,gdp_growth,current_account,inflation,fiscal_balance,remittances,trade_gdp_unctad,population,gdp_nominal_usd
BHS,Bahamas,Caribbean,WEO,TRUE,2016,51.057,NA,0.45670949549257,0.427355856801259,0.31652957058974,6600.501645498237,1,0,32172.3365152976,-1.15650811269629,-5.98258988449718,-0.346376929989397,-2.61,NA,32.665875480813746,388055,11880900000
BHS,Bahamas,Caribbean,WEO,TRUE,2017,54.649,NA,0.457399179817992,0.427355856801259,0.312359891011414,20.559336059581103,1,0,33050.0350128611,3.3713988456489,-12.6509094143141,1.51820700736147,-6.05,NA,30.2324273513887,390485,12446900000
BHS,Bahamas,Caribbean,WEO,TRUE,2018,61.513,NA,0.45838982493729,0.427355856801259,0.313187258066651,0,0,0,33650.2164350935,2.39795510823548,-8.70002668448312,2.26586346678736,-3.283,NA,37.069395906140784,392717,12819200000
BHS,Bahamas,Caribbean,WEO,TRUE,2019,60.314,NA,0.4571006065355,0.427355856801259,0.310511945158556,31420.976124124427,1,356,33202.4902105068,-0.838585871193203,-2.60210078588536,2.49123527368046,-1.68,NA,38.89432853807336,394675,13277000000
BHS,Bahamas,Caribbean,WEO,TRUE,2020,71.925,NA,0.458576558149906,0.427355856801259,0.314800344847058,0,0,0,26452.695760929,-20.0893664891399,-22.0443509738872,0.0385210980054558,-7.109,0.49025118689208,16.288405125829858,395863,10363200000
BHS,Bahamas,Caribbean,WEO,TRUE,2021,90.662,NA,0.459034868793215,0.427355856801259,0.316391121015059,0,0,0,31064.6822166194,17.5861390037409,-20.2208763533214,2.90491262928478,-11.902,0.440646340450278,27.66470050677079,396373,12037000000
BHS,Bahamas,Caribbean,WEO,TRUE,2022,84.656,NA,0.458947897959072,0.427355856801259,0.316707885533587,0,0,0,34342.9285316569,10.8779009410268,-8.86961547540974,5.60540633583044,-5.526,0.416556329514708,39.03776408957458,397538,13896800000
BHS,Bahamas,Caribbean,WEO,TRUE,2023,78.291,NA,0.458425830822161,0.427355856801259,0.315339073654306,0,0,0,35221.2696932313,3.04824180553773,-7.00069253380099,3.05291578969743,-3.655,0.410399245643789,39.361416513328926,399440,15271300000
BLZ,Belize,Caribbean,IDS,FALSE,2000,58.0021435341352,7.11346877508088,0.481078869918413,0.472251738101211,0.423393936732853,44409.022068587285,1,14,11363.6868781615,12.2406120663359,-14.1961321823555,3.06743966930585,-6.682,2.18500558060573,NA,240799,1138138100
BLZ,Belize,Caribbean,IDS,FALSE,2001,65.2932096074114,8.77517554933361,0.481986948812207,0.472251738101211,0.422235585910151,37788.390660547506,1,30,11567.0265720608,4.99356206143864,-16.2421438938367,3.65141786561502,-7.234,2.42293440764412,NA,248379,1172045150
BLZ,Belize,Caribbean,IDS,FALSE,2002,72.1671354028778,16.0357511860663,0.465988095995439,0.472251738101211,0.416840985070622,0,0,0,11828.1865744067,5.39907320663811,-13.2906443598953,4.24026660688645,-5.407,2.15740041437119,NA,256009,1243912050
BLZ,Belize,Caribbean,IDS,FALSE,2003,87.0683169319173,12.5688823225159,0.467504434521806,0.472251738101211,0.420369715983096,0,0,0,12589.2679378206,9.66522679614125,-14.0861625835692,2.31808274663101,-8.411,2.45750707704954,NA,263780,1308280250
BLZ,Belize,Caribbean,IDS,FALSE,2004,75.2161040696139,25.6581325752147,0.479494678963815,0.472251738101211,0.418459002367643,0,0,0,12807.1658774384,4.78066505273344,-11.0643857808538,6.39443099742399,-4.522,2.4032338577466,NA,271688,1400202000
BLZ,Belize,Caribbean,IDS,FALSE,2005,75.2035581223775,16.8488023598395,0.474322444090025,0.472251738101211,0.422444664282564,0,2,3,12714.9697390831,2.2191905367057,-10.2571610027522,-1.1043104441191,-3.703,3.031497751378,41.71475733813453,279731,1474298400
BLZ,Belize,Caribbean,IDS,FALSE,2006,71.9186530610254,9.43528604717009,0.473560193931532,0.472251738101211,0.415440142319179,0,0,0,12912.5300233774,4.51145460193301,-1.59601197898102,-7.11376771265014,-2.27,4.01216166455308,48.790820736425765,287878,1590463100
BLZ,Belize,Caribbean,IDS,FALSE,2007,69.469989591429,42.0130429801783,0.477154346742442,0.472251738101211,0.421803239165187,1316.5001597564913,1,0,12973.2067214746,3.33939738340764,-3.05300014756492,2.31808274642021,-0.187,4.28552763184669,47.82584499872215,296100,1706190450
BLZ,Belize,Caribbean,IDS,FALSE,2008,81.0678251934783,9.36917039399976,0.473754364586001,0.472251738101211,0.409571961932858,812.6762773536205,2,8,12415.6811300464,-1.62747776449082,-8.33368485730916,6.39443100250034,1.253,4.399830016353,49.871909149602835,304361,1738453600
BLZ,Belize,Caribbean,IDS,FALSE,2009,80.8063353112347,7.85721334899702,0.468558993751464,0.472251738101211,0.41053280942955,0,0,0,12033.9096816588,-0.446709636828217,-4.90747054418946,-1.10431044864355,-2.464,4.65508341704994,43.12763632857631,312614,1688012750
BLZ,Belize,Caribbean,IDS,FALSE,2010,81.1271940546319,7.89457442169045,0.469604563879054,0.472251738101211,0.400071765626067,0,1,0,11913.6635959061,1.41741099233461,-2.61503524197613,0.917977378808888,-1.903,4.4674149692595,47.456003710487735,320245,1748988400
BLZ,Belize,Caribbean,IDS,FALSE,2011,73.6871934030447,7.57083881988806,0.465927754312134,0.472251738101211,0.401335890915367,0,0,0,11641.7717375703,-0.13007112300869,-1.0891636773691,1.602056156402,-1.056,4.11249792720126,51.54029312558956,327298,1831576700
BLZ,Belize,Caribbean,IDS,FALSE,2012,66.8640968710153,8.61020352347818,0.463520018493945,0.472251738101211,0.397391806249576,0,0,0,11843.4153404212,3.94389321816617,-1.72726539315554,1.30058074547858,-0.224,3.96152002185937,53.93609615856586,334414,1917083500
BLZ,Belize,Caribbean,IDS,FALSE,2013,65.2809299610986,7.0678484196844,0.454016812494056,0.472251738101211,0.394059561661019,0,0,0,12064.797259406,4.06646561608865,-3.56655574064554,0.50974776898322,-1.208,3.65575977484598,51.88701043334277,341627,2035191450
BLZ,Belize,Caribbean,IDS,FALSE,2014,64.3273188536963,4.60355965171513,0.469412282747262,0.472251738101211,0.426942776794976,0,0,0,12272.2957895446,3.89226067249989,-6.35388372737354,1.20139964481058,-1.724,3.7570307808845,50.64907988440224,348923,2138242200
BLZ,Belize,Caribbean,IDS,FALSE,2015,61.0374168644776,4.66778254546174,0.457376178713085,0.472251738101211,0.403977573574778,0,1,0,12348.7944978311,2.7602602736023,-7.9675315662087,-0.861584009427748,-5.143,3.86413122740168,47.14797714089149,356333,2193095150
BLZ,Belize,Caribbean,IDS,FALSE,2016,60.617190802549,4.80910154377794,0.45344608503568,0.472251738101211,0.399475379610098,0,1,0,12063.0600374093,-0.0187414958130319,-7.29844356817201,0.663427167917601,-4.473,4.31643119387222,43.22190839951484,364705,2239604950
BLZ,Belize,Caribbean,IDS,FALSE,2017,62.5582203804267,4.87872464748932,0.453212932973945,0.472251738101211,0.397637619202075,0,0,0,11572.3007931461,-1.83323729057784,-6.97409797709737,1.14765339305816,-3.481,3.98117350466052,45.49810886073464,373202,2266028250
BLZ,Belize,Caribbean,IDS,FALSE,2018,63.1433493052864,5.34195189258062,0.452461522841639,0.472251738101211,0.399251174579509,0,0,0,11451.8979413877,0.822068592512508,-6.59667558600347,0.269982622646335,-1.366,4.04707684933587,46.85213477202488,380226,2285915050
BLZ,Belize,Caribbean,IDS,FALSE,2019,61.9332736035164,4.69838688018672,0.458243586868228,0.472251738101211,0.404475010618415,0,0,0,11765.9748661176,4.25658710030072,-7.7543527144913,0.187069385181424,-2.902,4.06590139952572,46.27942310389329,385829,2381187850
BLZ,Belize,Caribbean,IDS,FALSE,2020,77.0009327522602,4.00347802540268,0.459953583453054,0.472251738101211,0.416166993118687,0,1,0,10045.1404163746,-13.5228997055506,-6.24826598310846,0.121434644614894,-8.567,5.89481400963481,34.92430900911383,390812,2047284600
BLZ,Belize,Caribbean,IDS,FALSE,2021,61.9874859473581,26.305469275065,0.461336580967266,0.472251738101211,0.41281632480013303,0,0,0,11716.3267818656,17.9899244143607,-6.5003688908631,3.23563659237071,-3.291,5.57356290247454,42.94644304732395,395346,2428606250
BLZ,Belize,Caribbean,IDS,FALSE,2022,54.2321774965168,2.83384863768728,0.467712949739228,0.472251738101211,0.414593408016442,3765.433717544906,1,0,12565.3645829576,9.25051329530994,-8.2753170919124,6.27689319447544,-1.043,5.00304345845639,48.092387689915526,402733,2846604350
BLZ,Belize,Caribbean,IDS,FALSE,2023,51.3692267076717,3.88963411107687,0.467284269569326,0.472251738101211,0.413606258229882,0,0,0,12371.0086545348,0.500127941638667,-0.647401889300038,4.38984017487675,-2.424,4.90004565779905,50.32167458869935,411106,3052362650
BRB,Barbados,Caribbean,WEO,FALSE,2000,56.631,NA,0.354356642071039,0.396215852502981,0.347711360662028,0,0,0,21779.2203006868,4.44718962836241,-3.33993473383023,2.43581303489137,4.944,3.69995097238111,NA,262063,3059500000
BRB,Barbados,Caribbean,WEO,FALSE,2001,62.339,NA,0.355208987431593,0.396215852502981,0.350348277677756,0,0,0,21234.708034436,-2.36546466744424,-3.64191735837973,2.57783490431289,4.048,4.25437878539859,NA,262425,3054500000
BRB,Barbados,Caribbean,WEO,FALSE,2002,65.523,NA,0.369731284496647,0.396215852502981,0.360818039013775,11.234508289071302,1,0,21262.3089250843,0.787402032457734,-4.66106017866377,0.12524945805599,-5.238,4.02578464509899,NA,264148,3106500000
BRB,Barbados,Caribbean,WEO,FALSE,2003,65.279,NA,0.367252319596187,0.396215852502981,0.356353441259266,0,0,0,21591.7915931807,2.17548079415926,-5.86397699078632,1.61943319838055,-3.023,4.06605390247702,NA,265776,3209500000
BRB,Barbados,Caribbean,WEO,FALSE,2004,64.508,NA,0.356995605168985,0.396215852502981,0.359101046015063,241.07998258092613,1,1,21771.9014007178,1.41159830663733,-12.6937325840461,1.39442231075691,-2.885,3.78889741660618,NA,267298,3444500000
BRB,Barbados,Caribbean,WEO,FALSE,2005,66.272,NA,0.359752260581963,0.396215852502981,0.336257069692445,0,0,0,22514.483943994,3.95545720757542,-12.9792521453765,6.08218729535043,-2.943,2.47297876161801,41.86411834009687,268706,3819500000
BRB,Barbados,Caribbean,WEO,FALSE,2006,67.738,NA,0.360893078414316,0.396215852502981,0.337173434366431,0,0,0,23766.6070131111,6.07054621673575,-10.4893661741424,7.30766262828939,-3.308,2.07118152119897,44.222361510146456,270002,4217323400
BRB,Barbados,Caribbean,WEO,FALSE,2007,68.63,NA,0.365309991208976,0.396215852502981,0.347227410822635,0,1,0,24145.753990727,2.07918386258883,-7.42918018711688,4.03422982885071,-4.309,2.96580552152936,41.9610216114339,271288,4675767950
BRB,Barbados,Caribbean,WEO,FALSE,2008,73.788,NA,0.36187649670375,0.396215852502981,0.348780736004524,0,0,0,24171.6517995745,0.633460590858988,-9.01616589623384,8.10810810810782,-4.168,2.11173244812177,41.395200711822106,272714,4790410400
BRB,Barbados,Caribbean,WEO,FALSE,2009,88.198,NA,0.376723558518208,0.396215852502981,0.3534021767888,0,0,0,22840.8841002763,-5.01727538250874,-8.53071833117839,3.64386189258334,-6.537,2.56281551691838,39.759921712355954,274123,4466809600
